hotel_id,hotel_name,hotel_img
46,新港酒店,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/195_1632979711_5e11ac34261a5377ff27da8eb1eed2d8.jpg
47,錦田賓館,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/1632980648_4af52202f77beb11ba59ce2056aa7878.jpg
47,錦田賓館,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/196_1681285364_28b26ac5ad26d26aaf83dd3de7d7bece.jpg
47,錦田賓館,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/196_1681285377_13264068d108c6901b3592ea654fcd57.jpg
47,錦田賓館,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/196_1681285396_b2bd717a77da570a5c596af6934cadc7.jpg
47,錦田賓館,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/196_1632980668_bc30cb807aa4a8b8db55d427cae1e6b1.jpg
47,錦田賓館,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/196_1632980679_67398aecfa7ca45c9da8065d19e34911.jpg
47,錦田賓館,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/196_1632980913_61ff984193f822309aaeb04d79000888.jpg
47,錦田賓館,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/196_1632980922_b7cf277b3cd50797487df3bf4522fd38.jpg
47,錦田賓館,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/196_1632980933_3e161d75a0f7bd68545926246c56c1a4.jpg
48,金葉別墅,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/1634972762_e4cd88b70547dcde3379941aadf0205d.jpeg
48,金葉別墅,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/316_1634972782_797a722d875c436dfc9efc1d4447aea4.jpeg
49,富麗別墅,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/1634973371_3069ae1d4ec78fd264e1bfebe38315c1.jpeg
49,富麗別墅,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/317_1634973547_07c6af8c5722f6f5f70aeaa9996c735c.jpg
50,華恩酒店,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/1634974919_addc134b0f64b4d561820238f69e525b.jpeg
50,華恩酒店,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/319_1634975031_fbadea3069fd4c70d14f8c9e920047ce.jpeg
50,華恩酒店,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/319_1634975051_8cd235794c2d29fb634c17576964df96.jpeg
50,華恩酒店,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/319_1634975059_57c09ed4e8c9f4cd99f8cc38e2a92977.jpeg
50,華恩酒店,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/319_1666883331_48a216244090ebb91a5f267b094ae302.jpeg
50,華恩酒店,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/319_1666883355_d9a594f8e59f3a9d1fecc9491743d8b1.jpeg
51,綠恩酒店,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/1634979757_a930d6007e4f20dd68496719be4c8b12.jpeg
51,綠恩酒店,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/320_1634979771_b61945fbe0c51616c8e072b643fbc6ff.jpeg
51,綠恩酒店,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/320_1634979912_2838023a778dfaecdc212708f721b788.jpg
52,華廈別墅,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/1634980334_94f51d6be5815e13a6fcda9ab789c925.jpg
52,華廈別墅,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/321_1634980348_2838023a778dfaecdc212708f721b788.jpg
52,華廈別墅,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/321_1634980370_edfabff49b3684fef25db642ae5a1bf8.jpg
53,金鳳凰賓館,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/1634983889_0a9a76b8cddc6d50de946fd1d2622ced.jpeg
53,金鳳凰賓館,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/323_1634983968_ec1fc7883e3f879b8de1e98b909d8d35.jpg
53,金鳳凰賓館,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/323_1634983992_9bc651b6b8ffbccfc030597141fce24f.jpg
54,御花園酒店,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/1635047397_461962f0b4bfc9d941ba0cee18d002f4.jpeg
54,御花園酒店,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/324_1635047413_a43683d33b40f413228d54e3c6ed4a2f.jpg
54,御花園酒店,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/324_1635047498_4af52202f77beb11ba59ce2056aa7878.jpg
55,明珠酒店,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/1635049905_680a1ee9a46a070686be8ad8c23a6c4b.jpeg
55,明珠酒店,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/325_1635049920_a43683d33b40f413228d54e3c6ed4a2f.jpg
55,明珠酒店,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/325_1635049939_461962f0b4bfc9d941ba0cee18d002f4.jpeg
55,明珠酒店,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/325_1635049958_4af52202f77beb11ba59ce2056aa7878.jpg
56,富恒旅館 (彌敦道),https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/1649094260_e6d94cedc15db536bca51ecc12ebddfa.jpg
56,富恒旅館 (彌敦道),https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/1649094260_6fa086f33331cc0447c482c12decc149.jpg
56,富恒旅館 (彌敦道),https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/1649094260_5975505ed22997368407b6a9684b3143.jpg
56,富恒旅館 (彌敦道),https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/1649094260_bc08019a1600a577e8580a7608aee4d6.jpg
56,富恒旅館 (彌敦道),https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/1649094260_8e413598c794ba0b5091c21a6e2d94d0.jpg
56,富恒旅館 (彌敦道),https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/1649094260_338dbaa5262637c4f0898f267def43eb.jpg
57,富恒旅館 (漢口道),https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/1649094620_e68ae1b665933f6646fd189688e7a6c2.jpg
57,富恒旅館 (漢口道),https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/1649094620_3efb2f9780a1b3f923d6502e8d3323de.jpg
57,富恒旅館 (漢口道),https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/1649094620_a43eba5d7b49c9444fceed11e28190cb.jpg
57,富恒旅館 (漢口道),https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/1649094620_4477348300b3072fcaf49a7e340b16d5.jpg
58,西湖酒店 / J HOTEL,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/1634371840_92ef5c205be82d0d4455252435c3e085.jpg
58,西湖酒店 / J HOTEL,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/300_1634371848_d54d0a7e7f1314043b97da62a00dcd6b.jpg
58,西湖酒店 / J HOTEL,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/300_1634371854_a48ea2d81fe62515b0a0cf5e8ba5ba62.jpg
58,西湖酒店 / J HOTEL,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/300_1634371858_b2ed266acd2408bbb4fd8f2c50fd2705.jpg
58,西湖酒店 / J HOTEL,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/300_1634371863_64e73811f6083ec0b0e75544bad4e22c.jpg
58,西湖酒店 / J HOTEL,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/300_1634371868_da18e6a4ffdd068cba18a3d8f97b1be2.jpg
58,西湖酒店 / J HOTEL,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/300_1634371873_acc6f16e53873683b97cc9fecfc1599a.jpg
58,西湖酒店 / J HOTEL,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/300_1634371878_ede1d3b514fd26497ddd3c176349cc71.jpg
58,西湖酒店 / J HOTEL,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/300_1634371883_862a7216a762719e01631b16005f7b3c.jpg
58,西湖酒店 / J HOTEL,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/300_1634371888_cd51e5436ecb4705302fb1e4b9a051d7.jpg
59,QQ Hotel,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/1634545107_38a8884071c3c3a792254d01b4efbca0.jpg
59,QQ Hotel,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/303_1634545421_d053cd052505528b782b118c6562b000.jpg
60,時尚（設時鐘）酒店,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/1634827783_fc03c1830b9bebce978a103587cafcb8.jpeg
60,時尚（設時鐘）酒店,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/304_1634827830_0ddceffe14236f44cc1b05fe5bb99670.jpg
60,時尚（設時鐘）酒店,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/304_1634827866_1d4eb2f102d6c6938b525b0d53e6dc69.jpg
60,時尚（設時鐘）酒店,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/304_1634827883_7ab6e9037db27ee243a98cca18bb0543.jpg
60,時尚（設時鐘）酒店,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/304_1634827893_d57e37ae9faf20ed4b7ba09cfc352dad.jpg
60,時尚（設時鐘）酒店,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/304_1634827903_bc5d6cab53a179655da4ec37e73e59d3.jpg
60,時尚（設時鐘）酒店,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/304_1634827916_6b4aa86a5df67d27b4258c55ef60a3e1.jpg
60,時尚（設時鐘）酒店,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/304_1634827929_b4502923f9dea857438c60c79dbfa7da.jpeg
60,時尚（設時鐘）酒店,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/304_1634827941_fd1d492165ded0a0f591923a2ac3fd27.jpeg
60,時尚（設時鐘）酒店,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/304_1634827953_8c717109926ea938531b23e04af47166.jpeg
60,時尚（設時鐘）酒店,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/304_1634827962_0289dcc61f7fa7fcd04959bd478794dc.jpeg
60,時尚（設時鐘）酒店,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/304_1634827971_322275c1968688dfdb6b82ead55ab963.jpeg
60,時尚（設時鐘）酒店,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/304_1634827980_1b09112a49ccc5723110f1bb0b265bfb.jpeg
61,阿樂賓館,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/1634876378_76edca859425db9513a860adae5dbbb8.jpg
61,阿樂賓館,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/305_1634876391_eaf47c8f7d1e0d3b6ab4dc11b1b96615.jpg
61,阿樂賓館,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/305_1634876401_8fd70035e884ebbafd8dd7fc746d6461.jpg
61,阿樂賓館,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/305_1634876411_8f63baa9c092bf36274067023f4f0f13.jpg
61,阿樂賓館,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/305_1634876421_5fbfb61c1a3567861be17e849dee6739.jpg
61,阿樂賓館,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/305_1634876429_8e24bfe897569fdd465c2c92231f1ddd.jpg
62,麗豪別墅,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/1634879219_7653471184f92de9037ec5fd04778512.jpeg
62,麗豪別墅,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/306_1634879148_a38d6fca8d805e0b459345a2bc71bf11.jpeg
62,麗豪別墅,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/306_1634879158_0dfcd6a24e91cb2caf4a5b80deaa8d31.jpeg
62,麗豪別墅,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/306_1634879165_b3e26cd9fb6f2a515023299706bbcc7e.jpeg
62,麗豪別墅,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/306_1634879176_2ff80f6fd57920e648951e28db26f670.jpeg
63,星輝賓館,https://c25-frd-bucket.s3.ap-southeast-1.amazonaws.com/1634880063_8a08bb341dedbfd54f5937a6360b8d84.jpg
