name,address,district,phone,profile_pic,description,user_id,google_map_address
康樂賓館,新界荃灣大河道85號寶成樓1字樓8座,荃灣,24930795,https://iopenroom.com//web/upload/1632814814_600522273f877b9ff085ebe58a43a224.jpg,康樂賓館 ( Hong Lo Guest House ),1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d14765.634225296442!2d114.172869!3d22.3003833!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x340400ec279227c1%3A0x3b49c896b1dfe48e!2sPark%20Excellent%20Villa%20-%20Tsim%20Sha%20Tsui!5e0!3m2!1sen!2shk!4v1686016144719!5m2!1sen!2shk"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
麗豪小築,荃灣荃灣街巿街31號1字樓E室,荃灣,3591 3310,https://iopenroom.com//web/upload/1632813274_4a56829f5de773fb30d1fb9318ff6da7.jpg,麗豪小築 ( Lai Ho Villa ),1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d14767.97031059954!2d114.177174!3d22.278271!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3404005a4920666d%3A0x116f5b2963079b85!2z55m-5L2z6YWS5bqX!5e0!3m2!1szh-TW!2shk!4v1686016157036!5m2!1szh-TW!2shk"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
維記 - 歌頓道,銅鑼灣歌頓道9號,銅鑼灣,2578 7823,https://iopenroom.com//web/upload/1631869258_e1c80488853d86ab9d6decfe30d8930f.jpg,維記 - 歌頓道 ( Hotel Victoria - Gordon Road ),1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d230.71814698932346!2d114.1726262!3d22.2972876!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x340400f209bfffff%3A0x4a5934c3925a26b1!2sWai%20Fuk%20Guesthouse!5e0!3m2!1szh-TW!2shk!4v1686016819771!5m2!1szh-TW!2shk"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
維記 - 旺角,旺角砵蘭街194-196號維多利亞大廈4F-23F,旺角,2625 9999,https://iopenroom.com//web/upload/1631857383_6a4376afbe3b422054b89547acab3d5e.jpg,維記 - 旺角 ( Hotel Victoria - Tsim Sha Tsui ),1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d230.68080405552524!2d114.1711056!3d22.3198912!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x340400c629c3a011%3A0x529ac333c7ec7d75!2sSpanish%20Hotel!5e0!3m2!1sen!2shk!4v1686016725382!5m2!1sen!2shk"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
異國風酒店,九龍塘羅福道9號1字樓,九龍塘,2338 6223,https://iopenroom.com//web/upload/1633413311_ec13f64851a75ad09c94d9e37e7a61f5.jpg,"酒店位於九龍塘羅福道。我們貫徹以往的設備，異風情內每一間房都擁有與別不同的格調。由地上每一張地毯、床舖、床架、牆上裝飾、浴室等，都幾經精心考慮而佈局，務求讓住客感覺置身世外桃源，一解身心疲累

每間房仿效不同國家的特式而設計，令住客有如置身於不同國家一樣，帶給住客有到異地旅遊相同的享受和relax 的感覺。酒店內還有日本、泰國、英國等設計, 房內設備齊全，有無線上網，豐富電視節目等 ，亦提供小食及飲品。而浴室亦安裝了大型按摩浴缸及按摩花灑等。",1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d230.70376014630853!2d114.1708651!3d22.3059985!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x340400ea54ba952b%3A0x8610902f2b2ad27d!2sXi%20Hu%20Hotel!5e0!3m2!1sen!2shk!4v1686016788767!5m2!1sen!2shk"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
維記 - 天后,銅鑼灣英皇道14號,天后,2578 7829,https://iopenroom.com//web/upload/1631870577_b637b17af08aced8850c18cccde915da.jpg,維記 - 天后 ( Hotel Victoria - Tin Hau ),1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3691.992189581949!2d114.18399219999999!3d22.2782857!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3404005136283dd9%3A0xf82b6c0e604706cf!2sLee%20Garden%20Villas!5e0!3m2!1sen!2shk!4v1686017090046!5m2!1sen!2shk"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
桃源賓館,荃灣楊屋道57號,荃灣,2405 0482,https://iopenroom.com//web/upload/1632809009_d5a47ae2eb84ce194d94260c3aee497d.jpg,桃源賓館 ( Tao Yuen House ),1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3691.9469397224143!2d114.18020779999999!3d22.279999699999998!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x340400575074cc51%3A0xe7b2706ee2c29a0e!2z5p2P6Iqx5bCP56-J!5e0!3m2!1sen!2shk!4v1686017104003!5m2!1sen!2shk"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
金太陽賓館,新界荃灣川龍街101號1字樓,荃灣,2419 9918,https://iopenroom.com//web/upload/1632984324_b04d36b8952e95a3a07b4ef59891a134.jpg,金太陽賓館 ( Gold Sun House ),1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3691.668490642506!2d114.1984203!3d22.2905442!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3404010489cc0931%3A0xa7861ecc2e4bfae2!2sAsia%20House!5e0!3m2!1sen!2shk!4v1686015839200!5m2!1sen!2shk"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
翠華酒店,新界荃灣大河道85A號寶成樓1字樓,荃灣,24930795,https://iopenroom.com//web/upload/1632985402_31010ea88e84bbe1d62b3e2240acff6a.jpg,翠華酒店 ( Chui Wah Hotel ),1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3689.57995530905!2d114.1395148!3d22.369483899999995!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3403f89ccaa925cd%3A0xaa1b14c339bea590!2sCapital%20Villa!5e0!3m2!1sen!2shk!4v1686017595198!5m2!1sen!2shk"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
龍濤閣賓館,九龍觀塘牛頭角道357-375號仁安大廈1字樓Q室,觀塘,23456976,https://iopenroom.com//web/upload/1633329552_565ac5aac137b2fd3d9433ffb5674464.jpg,龍濤閣賓館 ( Lung Tao Kwok Villa ),1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3689.5570892069345!2d114.1153114!3d22.370346700000002!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3403f8ec34890cf3%3A0xd6fd007cb3f45143!2sCapital%20Hotel!5e0!3m2!1sen!2shk!4v1686016300898!5m2!1sen!2shk"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
