2021-11-30,1849,151,54
2021-12-01,5750,190,184
2021-12-02,1992,178,114
2021-12-03,3132,223,98
2021-12-04,1536,185,64
2021-12-05,5799,213,104
2021-12-06,1154,152,43
2021-12-07,1444,123,59
2021-12-08,2978,156,41
2021-12-09,3034,156,54
2021-12-10,3298,178,61
2021-12-11,1599,175,39
2021-12-12,4844,218,65
2021-12-13,1416,148,35
2021-12-14,1447,251,42
2021-12-15,4468,225,64
2021-12-16,3963,327,73
2021-12-17,3768,186,73
2021-12-18,4179,254,69
2021-12-19,21222,269,54
2021-12-20,1858,214,42
2021-12-21,3168,189,53
2021-12-22,3307,215,60
2021-12-23,1539,210,51
2021-12-24,5630,172,61
2021-12-25,1234,172,31
2021-12-26,4189,154,40
2021-12-27,1557,123,45
2021-12-28,3119,156,39
2021-12-29,3776,171,49
2021-12-30,3739,162,46
2021-12-31,3947,163,37
2022-01-01,1171,133,29
2022-01-02,6485,158,36
2022-01-03,1560,120,30
2022-01-04,1268,139,41
2022-01-05,5185,132,43
2022-01-06,1530,152,40
2022-01-07,1318,168,67
2022-01-08,1750,180,33
2022-01-09,1753,233,24
2022-01-10,1049,132,26
2022-01-11,1049,154,32
2022-01-12,1648,193,26
2022-01-13,1238,229,26
2022-01-14,1765,194,59
2022-01-15,1946,230,56
2022-01-16,2081,258,28
2022-01-17,1230,132,31
2022-01-18,1195,171,25
2022-01-19,1471,175,34
2022-01-20,1601,242,35
2022-01-21,2223,208,22
2022-01-22,2081,261,29
2022-01-23,1904,230,36
2022-01-24,1246,148,24
2022-01-25,1585,151,35
2022-01-26,2227,181,35
2022-01-27,1855,200,29
2022-01-28,2087,200,37
2022-01-29,1426,192,35
2022-01-30,1272,151,27
2022-01-31,375,58,32
2022-02-01,235,30,17
2022-02-02,623,47,32
2022-02-03,559,53,22
2022-02-04,565,99,20
2022-02-05,873,93,15
2022-02-06,1995,112,43
2022-02-07,1029,69,30
2022-02-08,758,68,20
2022-02-09,1141,51,24
2022-02-10,979,68,40
2022-02-11,795,35,23
2022-02-12,647,61,27
2022-02-13,1175,61,26
2022-02-14,679,35,18
2022-02-15,781,27,15
2022-02-16,1077,38,39
2022-02-17,559,55,17
2022-02-18,600,38,30
2022-02-19,782,48,14
2022-02-20,695,37,21
2022-02-21,370,30,20
2022-02-22,442,30,8
2022-02-23,824,17,27
2022-02-24,346,59,20
2022-02-25,347,58,13
2022-02-26,643,21,8
2022-02-27,664,54,13
2022-02-28,466,31,5
2022-03-01,394,34,13
2022-03-02,728,18,24
2022-03-03,498,17,27
2022-03-04,290,83,4
2022-03-05,341,23,14
2022-03-06,788,26,17
2022-03-07,347,9,13
2022-03-08,226,20,15
2022-03-09,527,14,22
2022-03-10,407,11,17
2022-03-11,502,43,19
2022-03-12,272,20,9
2022-03-13,420,22,10
2022-03-14,302,50,13
2022-03-15,617,23,16
2022-03-16,894,19,11
2022-03-17,222,13,6
2022-03-18,651,26,23
2022-03-19,606,27,24
2022-03-20,404,23,8
2022-03-21,286,15,9
2022-03-22,406,23,9
2022-03-23,702,17,7
2022-03-24,330,12,12
