,Date,Control Point,Arrival / Departure,Hong Kong Residents,Mainland Visitors,Other Visitors,Total
22556,27-12-2022,Airport,Arrival,20051,1595,2912,24558
22558,27-12-2022,Express Rail Link West Kowloon,Arrival,0,0,0,0
22560,27-12-2022,Hung Hom,Arrival,0,0,0,0
22562,27-12-2022,Lo Wu,Arrival,0,0,0,0
22564,27-12-2022,Lok Ma Chau Spur Line,Arrival,0,0,0,0
22566,27-12-2022,Heung Yuen Wai,Arrival,0,0,0,0
22568,27-12-2022,Hong Kong-Zhuhai-Macao Bridge,Arrival,1019,54,154,1227
22570,27-12-2022,Lok Ma Chau,Arrival,0,0,0,0
22572,27-12-2022,Man Kam To,Arrival,0,0,0,0
22574,27-12-2022,Sha Tau Kok,Arrival,0,0,0,0
22576,27-12-2022,Shenzhen Bay,Arrival,1523,288,140,1951
22578,27-12-2022,China Ferry Terminal,Arrival,0,0,0,0
22580,27-12-2022,Harbour Control,Arrival,0,0,0,0
22582,27-12-2022,Kai Tak Cruise Terminal,Arrival,0,0,0,0
22584,27-12-2022,Macau Ferry Terminal,Arrival,0,0,0,0
22586,28-12-2022,Airport,Arrival,19281,1627,3328,24236
22588,28-12-2022,Express Rail Link West Kowloon,Arrival,0,0,0,0
22590,28-12-2022,Hung Hom,Arrival,0,0,0,0
22592,28-12-2022,Lo Wu,Arrival,0,0,0,0
22594,28-12-2022,Lok Ma Chau Spur Line,Arrival,0,0,0,0
22596,28-12-2022,Heung Yuen Wai,Arrival,0,0,0,0
22598,28-12-2022,Hong Kong-Zhuhai-Macao Bridge,Arrival,1047,90,284,1421
22600,28-12-2022,Lok Ma Chau,Arrival,0,0,0,0
22602,28-12-2022,Man Kam To,Arrival,0,0,0,0
22604,28-12-2022,Sha Tau Kok,Arrival,0,0,0,0
22606,28-12-2022,Shenzhen Bay,Arrival,1675,346,160,2181
22608,28-12-2022,China Ferry Terminal,Arrival,0,0,0,0
22610,28-12-2022,Harbour Control,Arrival,0,0,0,0
22612,28-12-2022,Kai Tak Cruise Terminal,Arrival,0,0,0,0
22614,28-12-2022,Macau Ferry Terminal,Arrival,0,0,0,0
22616,29-12-2022,Airport,Arrival,19251,2035,3625,24911
22618,29-12-2022,Express Rail Link West Kowloon,Arrival,0,0,0,0
22620,29-12-2022,Hung Hom,Arrival,0,0,0,0
22622,29-12-2022,Lo Wu,Arrival,0,0,0,0
22624,29-12-2022,Lok Ma Chau Spur Line,Arrival,0,0,0,0
22626,29-12-2022,Heung Yuen Wai,Arrival,0,0,0,0
22628,29-12-2022,Hong Kong-Zhuhai-Macao Bridge,Arrival,1073,72,390,1535
22630,29-12-2022,Lok Ma Chau,Arrival,0,0,0,0
22632,29-12-2022,Man Kam To,Arrival,0,0,0,0
22634,29-12-2022,Sha Tau Kok,Arrival,0,0,0,0
22636,29-12-2022,Shenzhen Bay,Arrival,1580,364,172,2116
22638,29-12-2022,China Ferry Terminal,Arrival,0,0,0,0
22640,29-12-2022,Harbour Control,Arrival,0,0,0,0
22642,29-12-2022,Kai Tak Cruise Terminal,Arrival,0,0,0,0
22644,29-12-2022,Macau Ferry Terminal,Arrival,0,0,0,0
22646,30-12-2022,Airport,Arrival,19571,1784,3585,24940
22648,30-12-2022,Express Rail Link West Kowloon,Arrival,0,0,0,0
22650,30-12-2022,Hung Hom,Arrival,0,0,0,0
22652,30-12-2022,Lo Wu,Arrival,0,0,0,0
22654,30-12-2022,Lok Ma Chau Spur Line,Arrival,0,0,0,0
22656,30-12-2022,Heung Yuen Wai,Arrival,0,0,0,0
22658,30-12-2022,Hong Kong-Zhuhai-Macao Bridge,Arrival,1291,71,484,1846
22660,30-12-2022,Lok Ma Chau,Arrival,0,0,0,0
22662,30-12-2022,Man Kam To,Arrival,0,0,0,0
22664,30-12-2022,Sha Tau Kok,Arrival,0,0,0,0
22666,30-12-2022,Shenzhen Bay,Arrival,1896,445,116,2457
22668,30-12-2022,China Ferry Terminal,Arrival,0,0,0,0
22670,30-12-2022,Harbour Control,Arrival,0,0,0,0
22672,30-12-2022,Kai Tak Cruise Terminal,Arrival,0,0,0,0
22674,30-12-2022,Macau Ferry Terminal,Arrival,0,0,0,0
22676,31-12-2022,Airport,Arrival,21316,1618,2512,25446
22678,31-12-2022,Express Rail Link West Kowloon,Arrival,0,0,0,0
22680,31-12-2022,Hung Hom,Arrival,0,0,0,0
22682,31-12-2022,Lo Wu,Arrival,0,0,0,0
22684,31-12-2022,Lok Ma Chau Spur Line,Arrival,0,0,0,0
22686,31-12-2022,Heung Yuen Wai,Arrival,0,0,0,0
22688,31-12-2022,Hong Kong-Zhuhai-Macao Bridge,Arrival,1240,91,769,2100
22690,31-12-2022,Lok Ma Chau,Arrival,0,0,0,0
22692,31-12-2022,Man Kam To,Arrival,0,0,0,0
22694,31-12-2022,Sha Tau Kok,Arrival,0,0,0,0
22696,31-12-2022,Shenzhen Bay,Arrival,1893,443,191,2527
22698,31-12-2022,China Ferry Terminal,Arrival,0,0,0,0
22700,31-12-2022,Harbour Control,Arrival,0,0,0,0
22702,31-12-2022,Kai Tak Cruise Terminal,Arrival,0,0,0,0
22704,31-12-2022,Macau Ferry Terminal,Arrival,0,0,0,0
22706,01-01-2023,Airport,Arrival,24925,1687,2456,29068
22708,01-01-2023,Express Rail Link West Kowloon,Arrival,0,0,0,0
22710,01-01-2023,Hung Hom,Arrival,0,0,0,0
22712,01-01-2023,Lo Wu,Arrival,0,0,0,0
22714,01-01-2023,Lok Ma Chau Spur Line,Arrival,0,0,0,0
22716,01-01-2023,Heung Yuen Wai,Arrival,0,0,0,0
22718,01-01-2023,Hong Kong-Zhuhai-Macao Bridge,Arrival,1882,90,504,2476
22720,01-01-2023,Lok Ma Chau,Arrival,0,0,0,0
22722,01-01-2023,Man Kam To,Arrival,0,0,0,0
22724,01-01-2023,Sha Tau Kok,Arrival,0,0,0,0
22726,01-01-2023,Shenzhen Bay,Arrival,1850,416,113,2379
22728,01-01-2023,China Ferry Terminal,Arrival,0,0,0,0
22730,01-01-2023,Harbour Control,Arrival,0,0,0,0
22732,01-01-2023,Kai Tak Cruise Terminal,Arrival,0,0,0,0
22734,01-01-2023,Macau Ferry Terminal,Arrival,0,0,0,0
22736,02-01-2023,Airport,Arrival,28258,1624,1857,31739
22738,02-01-2023,Express Rail Link West Kowloon,Arrival,0,0,0,0
22740,02-01-2023,Hung Hom,Arrival,0,0,0,0
22742,02-01-2023,Lo Wu,Arrival,0,0,0,0
22744,02-01-2023,Lok Ma Chau Spur Line,Arrival,0,0,0,0
22746,02-01-2023,Heung Yuen Wai,Arrival,0,0,0,0
22748,02-01-2023,Hong Kong-Zhuhai-Macao Bridge,Arrival,2424,60,402,2886
22750,02-01-2023,Lok Ma Chau,Arrival,0,0,0,0
22752,02-01-2023,Man Kam To,Arrival,0,0,0,0
22754,02-01-2023,Sha Tau Kok,Arrival,0,0,0,0
22756,02-01-2023,Shenzhen Bay,Arrival,2929,485,130,3544
22758,02-01-2023,China Ferry Terminal,Arrival,0,0,0,0
22760,02-01-2023,Harbour Control,Arrival,0,0,0,0
22762,02-01-2023,Kai Tak Cruise Terminal,Arrival,0,0,0,0
22764,02-01-2023,Macau Ferry Terminal,Arrival,0,0,0,0
22766,03-01-2023,Airport,Arrival,22993,1663,2459,27115
22768,03-01-2023,Express Rail Link West Kowloon,Arrival,0,0,0,0
22770,03-01-2023,Hung Hom,Arrival,0,0,0,0
22772,03-01-2023,Lo Wu,Arrival,0,0,0,0
22774,03-01-2023,Lok Ma Chau Spur Line,Arrival,0,0,0,0
22776,03-01-2023,Heung Yuen Wai,Arrival,0,0,0,0
22778,03-01-2023,Hong Kong-Zhuhai-Macao Bridge,Arrival,1608,84,637,2329
22780,03-01-2023,Lok Ma Chau,Arrival,0,0,0,0
22782,03-01-2023,Man Kam To,Arrival,0,0,0,0
22784,03-01-2023,Sha Tau Kok,Arrival,0,0,0,0
22786,03-01-2023,Shenzhen Bay,Arrival,2184,532,184,2900
22788,03-01-2023,China Ferry Terminal,Arrival,0,0,0,0
22790,03-01-2023,Harbour Control,Arrival,0,0,0,0
22792,03-01-2023,Kai Tak Cruise Terminal,Arrival,0,0,0,0
22794,03-01-2023,Macau Ferry Terminal,Arrival,0,0,0,0
22796,04-01-2023,Airport,Arrival,21850,1886,2833,26569
22798,04-01-2023,Express Rail Link West Kowloon,Arrival,0,0,0,0
22800,04-01-2023,Hung Hom,Arrival,0,0,0,0
22802,04-01-2023,Lo Wu,Arrival,0,0,0,0
22804,04-01-2023,Lok Ma Chau Spur Line,Arrival,0,0,0,0
22806,04-01-2023,Heung Yuen Wai,Arrival,0,0,0,0
22808,04-01-2023,Hong Kong-Zhuhai-Macao Bridge,Arrival,1397,99,626,2122
22810,04-01-2023,Lok Ma Chau,Arrival,0,0,0,0
22812,04-01-2023,Man Kam To,Arrival,0,0,0,0
22814,04-01-2023,Sha Tau Kok,Arrival,0,0,0,0
22816,04-01-2023,Shenzhen Bay,Arrival,2366,550,218,3134
22818,04-01-2023,China Ferry Terminal,Arrival,0,0,0,0
22820,04-01-2023,Harbour Control,Arrival,0,0,0,0
22822,04-01-2023,Kai Tak Cruise Terminal,Arrival,0,0,0,0
22824,04-01-2023,Macau Ferry Terminal,Arrival,0,0,0,0
22826,05-01-2023,Airport,Arrival,18429,2304,3164,23897
22828,05-01-2023,Express Rail Link West Kowloon,Arrival,0,0,0,0
22830,05-01-2023,Hung Hom,Arrival,0,0,0,0
22832,05-01-2023,Lo Wu,Arrival,0,0,0,0
22834,05-01-2023,Lok Ma Chau Spur Line,Arrival,0,0,0,0
22836,05-01-2023,Heung Yuen Wai,Arrival,0,0,0,0
22838,05-01-2023,Hong Kong-Zhuhai-Macao Bridge,Arrival,1504,93,615,2212
22840,05-01-2023,Lok Ma Chau,Arrival,0,0,0,0
22842,05-01-2023,Man Kam To,Arrival,0,0,0,0
22844,05-01-2023,Sha Tau Kok,Arrival,0,0,0,0
22846,05-01-2023,Shenzhen Bay,Arrival,2601,603,318,3522
22848,05-01-2023,China Ferry Terminal,Arrival,0,0,0,0
22850,05-01-2023,Harbour Control,Arrival,0,0,0,0
22852,05-01-2023,Kai Tak Cruise Terminal,Arrival,0,0,0,0
22854,05-01-2023,Macau Ferry Terminal,Arrival,0,0,0,0
22856,06-01-2023,Airport,Arrival,19307,2468,3391,25166
22858,06-01-2023,Express Rail Link West Kowloon,Arrival,0,0,0,0
22860,06-01-2023,Hung Hom,Arrival,0,0,0,0
22862,06-01-2023,Lo Wu,Arrival,0,0,0,0
22864,06-01-2023,Lok Ma Chau Spur Line,Arrival,0,0,0,0
22866,06-01-2023,Heung Yuen Wai,Arrival,0,0,0,0
22868,06-01-2023,Hong Kong-Zhuhai-Macao Bridge,Arrival,1870,118,886,2874
22870,06-01-2023,Lok Ma Chau,Arrival,0,0,0,0
22872,06-01-2023,Man Kam To,Arrival,0,0,0,0
22874,06-01-2023,Sha Tau Kok,Arrival,0,0,0,0
22876,06-01-2023,Shenzhen Bay,Arrival,3056,826,200,4082
22878,06-01-2023,China Ferry Terminal,Arrival,0,0,0,0
22880,06-01-2023,Harbour Control,Arrival,0,0,0,0
22882,06-01-2023,Kai Tak Cruise Terminal,Arrival,0,0,0,0
22884,06-01-2023,Macau Ferry Terminal,Arrival,0,0,0,0
22886,07-01-2023,Airport,Arrival,19863,2885,3456,26204
22888,07-01-2023,Express Rail Link West Kowloon,Arrival,0,0,0,0
22890,07-01-2023,Hung Hom,Arrival,0,0,0,0
22892,07-01-2023,Lo Wu,Arrival,0,0,0,0
22894,07-01-2023,Lok Ma Chau Spur Line,Arrival,0,0,0,0
22896,07-01-2023,Heung Yuen Wai,Arrival,0,0,0,0
22898,07-01-2023,Hong Kong-Zhuhai-Macao Bridge,Arrival,2052,165,1224,3441
22900,07-01-2023,Lok Ma Chau,Arrival,0,0,0,0
22902,07-01-2023,Man Kam To,Arrival,0,0,0,0
22904,07-01-2023,Sha Tau Kok,Arrival,0,0,0,0
22906,07-01-2023,Shenzhen Bay,Arrival,3932,1879,411,6222
22908,07-01-2023,China Ferry Terminal,Arrival,0,0,0,0
22910,07-01-2023,Harbour Control,Arrival,0,0,0,0
22912,07-01-2023,Kai Tak Cruise Terminal,Arrival,0,0,0,0
22914,07-01-2023,Macau Ferry Terminal,Arrival,0,0,0,0
